pais,energia_tipo,anio,energia_cons,energia_produccion,pbi,poblacion,energia_intensidad_per_capita,energia_intensidad_by_pbi,co2_emision_co2
Côte d’Ivoire,renewables_n_other,1980,0.01,0.01,,8033.65,9.1,0.0,0.0
Denmark,all_energy_types,1980,0.86,0.01,151.36,5123.27,167.1,5.66,
Denmark,coal,1980,0.23,0.0,151.36,5123.27,167.1,5.66,
Denmark,natural_gas,1980,0.0,0.0,151.36,5123.27,167.1,5.66,
Denmark,petroleum_n_other_liquids,1980,0.62,0.01,151.36,5123.27,167.1,5.66,
Denmark,nuclear,1980,,,151.36,5123.27,167.1,5.66,0.0
Denmark,renewables_n_other,1980,-0.0,0.0,151.36,5123.27,167.1,5.66,0.0
Djibouti,all_energy_types,1980,0.02,0.0,,358.96,60.32,0.0,
Djibouti,coal,1980,0.0,0.0,,358.96,60.32,0.0,
Djibouti,natural_gas,1980,0.0,0.0,,358.96,60.32,0.0,
Djibouti,petroleum_n_other_liquids,1980,0.02,0.0,,358.96,60.32,0.0,
Djibouti,nuclear,1980,,,,358.96,60.32,0.0,0.0
Djibouti,renewables_n_other,1980,0.0,0.0,,358.96,60.32,0.0,0.0
Dominica,all_energy_types,1980,0.0,0.0,,75.32,6.68,0.0,
Dominica,coal,1980,0.0,0.0,,75.32,6.68,0.0,
Dominica,natural_gas,1980,0.0,0.0,,75.32,6.68,0.0,
Dominica,petroleum_n_other_liquids,1980,0.0,0.0,,75.32,6.68,0.0,
Dominica,nuclear,1980,,,,75.32,6.68,0.0,0.0
Dominica,renewables_n_other,1980,0.0,0.0,,75.32,6.68,0.0,0.0
Dominican Republic,all_energy_types,1980,0.09,0.01,,5803.93,14.86,0.0,
Dominican Republic,coal,1980,0.0,0.0,,5803.93,14.86,0.0,
Dominican Republic,natural_gas,1980,0.0,0.0,,5803.93,14.86,0.0,
Dominican Republic,petroleum_n_other_liquids,1980,0.08,0.0,,5803.93,14.86,0.0,
Dominican Republic,nuclear,1980,,,,5803.93,14.86,0.0,0.0
Dominican Republic,renewables_n_other,1980,0.01,0.01,,5803.93,14.86,0.0,0.0
Ecuador,all_energy_types,1980,0.19,0.46,,7989.18,23.24,0.0,
Ecuador,coal,1980,0.0,0.0,,7989.18,23.24,0.0,
Ecuador,natural_gas,1980,0.0,0.0,,7989.18,23.24,0.0,
Ecuador,petroleum_n_other_liquids,1980,0.17,0.45,,7989.18,23.24,0.0,
Ecuador,nuclear,1980,,,,7989.18,23.24,0.0,0.0
Ecuador,renewables_n_other,1980,0.01,0.01,,7989.18,23.24,0.0,0.0
Egypt,all_energy_types,1980,0.71,1.45,,43309.1,16.49,0.0,
Egypt,coal,1980,0.02,0.0,,43309.1,16.49,0.0,
Egypt,natural_gas,1980,0.03,0.03,,43309.1,16.49,0.0,
Egypt,petroleum_n_other_liquids,1980,0.56,1.32,,43309.1,16.49,0.0,
Egypt,nuclear,1980,,,,43309.1,16.49,0.0,0.0
Egypt,renewables_n_other,1980,0.1,0.1,,43309.1,16.49,0.0,0.0
El Salvador,all_energy_types,1980,0.05,0.02,,4591.13,9.84,0.0,
El Salvador,coal,1980,0.0,0.0,,4591.13,9.84,0.0,
El Salvador,natural_gas,1980,0.0,0.0,,4591.13,9.84,0.0,
El Salvador,petroleum_n_other_liquids,1980,0.03,0.0,,4591.13,9.84,0.0,
El Salvador,nuclear,1980,,,,4591.13,9.84,0.0,0.0
